,frame,x,y
612,77,2588,1378
613,77,2190,1324
614,77,1459,1274
615,77,2956,1249
616,77,2076,859
617,78,2355,1444
618,78,2589,1378
619,78,2191,1324
620,78,1623,1316
621,78,2956,1246
622,78,2078,861
623,79,2595,1374
624,79,2180,1322
625,79,1468,1271
626,79,2955,1246
627,79,2075,857
628,80,2595,1373
629,80,2178,1320
630,80,1466,1271
631,80,2955,1247
632,80,5,5
633,81,2598,1372
634,81,2140,1298
635,81,1462,1274
636,81,2956,1249
637,81,1263,1207
638,81,2268,888
639,81,2079,859
640,81,2,5
641,82,2599,1372
642,82,2139,1298
643,82,1463,1274
644,82,2956,1250
645,82,1263,1209
646,82,2079,860
647,82,2,5
648,83,2600,1372
649,83,1622,1318
650,83,2138,1298
651,83,1464,1273
652,83,2957,1251
653,83,1263,1211
654,83,2078,859
655,83,2110,839
656,83,2,5
657,84,2603,1371
658,84,1622,1318
659,84,2135,1300
660,84,1466,1272
661,84,2959,1252
662,84,1264,1212
663,84,2081,866
664,84,2109,839
665,84,2,5
666,85,2602,1371
667,85,1622,1320
668,85,2177,1319
669,85,2134,1300
670,85,1467,1272
671,85,2959,1252
672,85,1265,1213
673,85,2269,895
674,85,2080,866
675,85,2110,839
676,85,2,5
677,86,2602,1371
678,86,1622,1320
679,86,2172,1314
680,86,2136,1301
681,86,1467,1272
682,86,2960,1253
683,86,1265,1214
684,86,2268,895
685,86,2079,864
686,86,2108,839
687,87,2603,1371
688,87,1622,1322
689,87,2160,1308
690,87,1468,1273
691,87,2960,1253
692,87,1266,1217
693,87,2267,896
694,87,2082,867
695,87,2109,839
696,88,2603,1371
697,88,1622,1325
698,88,2166,1310
699,88,1468,1273
700,88,2958,1246
701,88,1267,1219
702,88,2870,1005
703,88,2266,900
704,88,2083,868
705,88,2108,839
706,89,2606,1369
707,89,1622,1322
708,89,2154,1304
709,89,1468,1273
710,89,2958,1247
711,89,1266,1219
712,89,2869,1005
713,89,2263,903
714,89,2085,870
715,89,2106,839
716,90,2608,1368
717,90,1623,1325
718,90,2153,1303
719,90,1473,1272
720,90,1416,1261
721,90,2958,1247
722,90,1266,1220
723,90,2869,1005
724,90,2266,900
725,90,2086,871
726,90,2106,840
727,91,2609,1370
728,91,2150,1303
729,91,1467,1273
730,91,1417,1261
731,91,2961,1258
732,91,1265,1217
733,91,2868,1005
734,91,2263,903
735,91,2086,872
736,91,2105,840
737,92,2603,1365
738,92,2136,1301
739,92,1475,1271
740,92,1418,1260
741,92,2961,1258
742,92,1265,1218
743,92,2865,1003
744,92,2263,903
745,92,2088,872
746,92,2104,840
747,93,2603,1365
748,93,2166,1313
749,93,2131,1303
750,93,1476,1273
751,93,1420,1260
752,93,2961,1258
753,93,1266,1220
754,93,2867,1004
755,93,2267,900
756,93,2089,872
757,93,2104,840
758,94,2602,1365
759,94,2166,1313
760,94,2129,1303
761,94,2312,1280
762,94,1459,1274
763,94,1420,1260
764,94,2962,1260
765,94,1266,1223
766,94,2867,1004
767,94,2267,900
768,94,2090,873
769,94,2105,840
770,95,2358,1449
771,95,2609,1367
772,95,2129,1303
773,95,2165,1311
774,95,1467,1274
775,95,2963,1265
776,95,1420,1260
777,95,1265,1225
778,95,2267,900
779,95,2090,873
780,95,2104,840
781,96,2962,1796
782,96,2357,1449
783,96,2603,1361
784,96,2128,1303
785,96,2164,1311
786,96,1457,1274
787,96,2964,1267
788,96,1420,1259
789,96,1266,1229
790,96,2863,1007
791,96,2268,900
792,96,2089,873
793,96,2104,840
794,97,2962,1796
795,97,2619,1368
796,97,2572,1342
797,97,2160,1302
798,97,1458,1274
799,97,2966,1269
800,97,1419,1258
801,97,1266,1231
802,97,2268,900
803,97,2093,874
804,97,2105,840
805,97,1448,652
806,98,2620,1368
807,98,2573,1341
808,98,2158,1301
809,98,1458,1274
810,98,2966,1270
811,98,1420,1258
812,98,1266,1233
813,98,2268,900
814,98,2094,874
815,98,2104,840
816,98,1447,651
817,99,2631,1371
818,99,2574,1342
819,99,2154,1299
820,99,1460,1273
821,99,1424,1262
822,99,1265,1238
823,99,2270,900
824,99,2095,875
825,99,2102,839
826,100,2635,1372
827,100,2578,1346
828,100,2122,1302
829,100,2154,1298
830,100,1461,1273
831,100,2965,1268
832,100,1267,1228
833,100,2270,901
834,100,2106,877
835,100,2102,839
836,101,2963,1793
837,101,2355,1443
838,101,2646,1376
839,101,2581,1345
840,101,2120,1302
841,101,2155,1297
842,101,1477,1275
843,101,2965,1270
844,101,1265,1256
845,101,2271,902
846,101,2100,839
847,101,1458,651
848,102,2963,1791
849,102,2355,1442
850,102,2649,1376
851,102,2583,1346
852,102,2120,1302
853,102,2154,1297
854,102,1476,1274
855,102,2963,1269
856,102,1266,1243
857,102,2271,903
858,102,2107,876
859,102,2099,839
860,102,1458,651
861,103,2964,1789
862,103,2354,1442
863,103,2649,1376
864,103,2584,1348
865,103,2139,1300
866,103,1481,1273
867,103,2964,1269
868,103,1267,1246
869,103,2274,910
870,103,2093,876
871,103,2101,839
872,103,1452,650
873,104,2964,1788
874,104,2354,1441
875,104,2653,1378
876,104,2586,1349
877,104,1622,1315
878,104,2138,1298
879,104,1482,1273
880,104,2965,1269
881,104,1423,1259
882,104,1266,1249
883,104,2273,911
884,104,2095,877
885,104,1463,653
886,104,1449,649
887,105,2964,1787
888,105,2354,1441
889,105,2653,1378
890,105,2587,1350
